ticket_id,employee_id,position_id,category,status,open_date,close_date,assigned_to,resolution_notes
TKT-000570,EMP-00248,,HR Technology,Closed,2025-05-06,2025-06-26,EMP-00399,Fall care reason ever money.
TKT-000571,EMP-00125,SALES-SR,Onboarding,Closed,2025-01-03,2025-01-07,EMP-00391,Decide decade around number without more because right painting small.
TKT-000572,EMP-00402,ENG-SR,Compensation,In Progress,2025-11-22,,EMP-00394,
TKT-000573,EMP-00328,,HR Technology,Closed,2025-04-03,2025-06-01,EMP-00044,Interview summer employee offer perhaps until pass.
TKT-000574,EMP-00314,,Policy & Benefits,Closed,2025-10-01,2025-10-16,EMP-00044,Mind place manage conference participant remember without ability agency.
TKT-000575,EMP-00020,,Policy & Benefits,Closed,2025-03-11,2025-03-24,EMP-00392,Someone scene debate past increase animal glass south defense political real.
TKT-000576,EMP-00243,,Policy & Benefits,Closed,2025-09-30,2025-10-13,EMP-00397,So film media food accept rate game.
TKT-000577,EMP-00196,SALES-MGR,Offboarding,In Progress,2025-05-19,,EMP-00399,
TKT-000578,EMP-00201,,Policy & Benefits,Closed,2025-06-03,2025-06-18,EMP-00394,Pattern ahead compare form full public trouble something population loss.
TKT-000579,EMP-00175,,Payroll,Closed,2025-03-18,2025-04-08,EMP-00391,Leave tend time leg sport until argue minute north question new.
TKT-000580,EMP-00145,,Policy & Benefits,In Progress,2025-06-30,,EMP-00396,
TKT-000581,EMP-00273,SALES-SR,Onboarding,Open,2025-12-14,,EMP-00391,
TKT-000582,EMP-00094,,HR Technology,Closed,2025-12-28,2025-12-31,EMP-00391,Decade rate son thousand.
TKT-000583,EMP-00367,,Policy & Benefits,Closed,2025-03-23,2025-04-03,EMP-00396,At chance subject fund heart move coach paper.
TKT-000584,EMP-00376,,HR Tech,Closed,2025-05-10,2025-06-16,EMP-00394,Organization ten seem relate fire all.
TKT-000585,EMP-00328,,Payroll,Closed,2025-09-03,2025-09-25,EMP-00394,Beautiful theory he stop few modern company hear.
TKT-000586,EMP-00054,ENG-MGR,Learning & Development,Closed,2025-11-22,2025-12-23,EMP-00397,Sing tree kitchen agent lot.
TKT-000587,EMP-00418,,Payroll,Closed,2025-11-13,2025-12-13,EMP-00398,Child future low them financial force show better word.
TKT-000588,EMP-00103,DEL-ROLE-041,Offboarding,Closed,2025-11-21,2025-12-01,EMP-00398,Quality car right least require mission about usually reach organization.
TKT-000589,EMP-00277,,HR Technology,In Progress,2025-06-01,,EMP-00394,
TKT-000590,EMP-00144,FIN-IC2,Offboarding,Closed,2025-01-31,2025-02-18,EMP-00396,Four threat billion she seat.
TKT-000591,EMP-00007,,Payroll,Closed,2025-07-28,2025-08-19,EMP-00045,Officer fine throughout fly.
TKT-000592,EMP-00024,,HR Technology,Closed,2025-01-08,2025-03-15,EMP-00393,Expert mother significant provide evening church.
TKT-000593,EMP-00131,,HR Technology,Closed,2025-03-02,2025-04-13,EMP-00398,Address performance method deal go.
TKT-000594,EMP-00105,,HR Technology,Closed,2025-10-17,2025-12-08,EMP-00045,Even wall sound off commercial find throughout music.
TKT-000595,EMP-00206,,Payroll,Closed,2025-06-10,2025-06-27,EMP-00392,Candidate likely push black approach.
TKT-000596,EMP-00207,,HR Technology,Closed,2025-10-23,2025-12-01,EMP-00394,Hot relate through picture real knowledge green forward cup.
TKT-000597,EMP-00209,DEL-ROLE-041,Learning & Development,Closed,2025-03-19,2025-04-06,EMP-00398,Bad type share nothing behavior sort recognize best financial popular.
TKT-000598,EMP-00370,,Policy & Benefits,Closed,2025-07-19,2025-07-22,EMP-00398,Like water century time election guy contain true form.
TKT-000599,EMP-00315,,Payroll,Closed,2025-06-27,2025-07-20,EMP-00391,Law air little goal leave color should page.
TKT-000600,EMP-00357,CS-MGR,Onboarding,Open,2025-10-06,,EMP-00392,
TKT-000601,EMP-00070,,Employee Relations,Closed,2025-05-20,2025-06-08,EMP-00392,Meet if research blood news audience.
TKT-000602,EMP-00047,,HR Technology,Closed,2025-11-18,2025-12-31,EMP-00391,Mouth husband including per nature wind himself.
TKT-000603,EMP-00285,,Employee Relations,Closed,2025-12-24,2025-12-31,EMP-00396,Decade really issue woman note garden reason community.
TKT-000604,EMP-00134,,Policy & Benefits,Closed,2025-07-15,2025-07-20,EMP-00391,School Republican student boy other.
TKT-000605,EMP-00384,ENG-STAFF,Learning & Development,Closed,2025-03-26,2025-05-09,EMP-00396,Never state computer what attorney board sport side.
TKT-000606,EMP-00412,ENG-IC1,Onboarding,Closed,2025-06-22,2025-07-01,EMP-00391,Force population article design catch oil sense special.
TKT-000607,EMP-00353,ENG-IC1,Onboarding,Closed,2025-09-20,2025-10-05,EMP-00395,Produce laugh factor past language day.
TKT-000608,EMP-00278,FIN-MGR,Onboarding,Closed,2025-06-16,2025-06-28,EMP-00396,Feel some quickly truth view response trip wrong.
TKT-000609,EMP-00097,PM-SR,Onboarding,In Progress,2025-08-04,,EMP-00045,
TKT-000610,EMP-00086,,Payroll,Closed,2025-01-02,2025-02-10,EMP-00395,Account worry identify camera family hard nature apply reflect star.
TKT-000611,EMP-00094,SALES-MGR,Compensation,Closed,2025-09-27,2025-11-11,EMP-00396,Body executive all it opportunity personal Republican image.
TKT-000612,EMP-00317,,Payroll,In Progress,2025-08-27,,EMP-00398,
TKT-000613,EMP-00138,DATA-MGR,Onboarding,Closed,2025-10-12,2025-10-31,EMP-00045,Nation production little could his under style child young.
TKT-000614,EMP-00349,CS-IC1,Onboarding,Closed,2025-08-12,2025-08-09,EMP-00396,Care author administration return main join.
TKT-000615,EMP-00104,,HR Technology,In Progress,2025-03-22,,EMP-00398,
TKT-000616,EMP-00028,SALES-SR,Learning & Development,Closed,2025-01-29,2025-04-12,EMP-00044,Be politics indeed lay smile page.
TKT-000617,EMP-00401,,HR Technology,Closed,2025-01-14,2025-02-06,EMP-00397,Perhaps lawyer interest star his difficult interesting account marriage.
TKT-000618,EMP-00257,,HR Technology,Closed,2025-07-16,2025-09-12,EMP-00045,Republican especially unit office almost also low.
TKT-000619,EMP-00340,,Employee Relations,Closed,2025-01-15,2025-02-08,EMP-00045,Both loss real center rule worker worker single.
TKT-000620,EMP-00179,ENG-STAFF,Offboarding,Closed,2025-10-23,2025-11-07,EMP-00392,Might model particular early piece professional protect range much.
TKT-000621,EMP-00006,,Policy & Benefits,Closed,2025-07-22,2025-08-06,EMP-00399,Fine apply gas sing light mention light safe inside whether.
TKT-000622,EMP-00169,CS-IC2,L&D,Closed,2025-10-18,2025-12-30,EMP-00393,Eye along type see risk nor article.
TKT-000623,EMP-00344,,Payroll,In Progress,2025-02-08,,EMP-00394,
TKT-000624,EMP-00231,,HR Technology,Closed,2025-11-07,2025-12-31,EMP-00391,Official of prevent factor say agree machine camera baby.
TKT-000625,EMP-00260,,HR Technology,Closed,2025-02-24,2025-03-25,EMP-00396,Edge past every either scientist page travel.
TKT-000626,EMP-00033,ENG-STAFF,Learning & Development,Closed,2025-07-01,2025-08-02,EMP-00393,Process have compare site door Congress.
TKT-000627,EMP-00276,,HR Tech,Closed,2025-01-01,2025-02-09,EMP-00392,Television garden base certain value child many year side draw.
TKT-000628,EMP-00254,,HR Technology,Closed,2025-10-09,2025-12-17,EMP-00391,Rise cold official success approach enough standard apply less.
TKT-000629,EMP-00396,PM-IC2,Onboarding,Closed,2025-06-03,2025-06-27,EMP-00392,Feeling second sell mouth here relationship listen certain that.
TKT-000630,EMP-00196,,Policy & Benefits,In Progress,2025-05-21,,EMP-00393,
TKT-000631,EMP-00097,HR-MGR,Learning & Development,Closed,2025-08-27,2025-10-13,EMP-00399,Eye something high firm.
TKT-000632,EMP-00157,DEL-ROLE-023,Learning & Development,Closed,2025-06-13,2025-05-31,EMP-00396,Raise American truth PM what it truth teach friend environment.
TKT-000633,EMP-00030,,Policy & Benefits,Closed,2025-04-09,2025-04-29,EMP-00045,Effort once leave push drop.
TKT-000634,EMP-00022,SALES-MGR,Learning & Development,Closed,2025-03-31,2025-04-26,EMP-00044,Side mind question year finish action across attack in moment.
TKT-000635,EMP-00386,,Policy & Benefits,Closed,2025-12-06,2025-12-26,EMP-00391,Goal rise edge alone people arm order thus describe.
TKT-000636,EMP-00054,,Payroll,Closed,2025-05-09,2025-06-21,EMP-00045,Point remain build task candidate prevent tonight not whose to.
TKT-000637,EMP-00395,ENG-IC2,Onboarding,Closed,2025-10-20,2025-11-12,EMP-00392,Education level view police two everybody.
TKT-000638,EMP-00024,ENG-STAFF,Onboarding,In Progress,2025-03-07,,EMP-00398,
TKT-000639,EMP-00265,,HR Technology,Closed,2025-07-19,2025-09-10,EMP-00394,Realize property show either sit everyone artist home you.
TKT-000640,EMP-00265,,Payroll,Closed,2025-05-13,2025-06-08,EMP-00392,Western enough key man up particular condition.
TKT-000641,EMP-00308,FIN-IC2,Learning & Development,Closed,2025-10-29,2025-11-22,EMP-00398,Board music issue pass blood kid else alone audience.
TKT-000642,EMP-00197,,HR Technology,Closed,2025-04-14,2025-06-03,EMP-00392,Since affect marriage present a also hospital.
TKT-000643,EMP-00023,ENG-STAFF,Onboarding,Closed,2025-07-13,2025-07-20,EMP-00392,Record toward off middle vote make.
TKT-000644,EMP-00300,,Payroll,Closed,2025-01-01,2025-01-31,EMP-00391,Identify road speech audience difficult his ready sister building.
TKT-000645,EMP-00022,PM-IC2,Offboarding,Closed,2025-02-14,2025-02-15,EMP-00391,Various grow radio hundred place where before movement which ball.
TKT-000646,EMP-00173,,Employee Relations,Closed,2025-12-25,2025-12-31,EMP-00397,Set face data never whose produce federal hope blood.
TKT-000647,EMP-00184,SALES-IC2,Onboarding,Closed,2025-04-23,2025-05-07,EMP-00395,Main those just country along agent you draw.
TKT-000648,EMP-00289,,HR Technology,Closed,2025-02-27,2025-04-18,EMP-00044,As music film move strong last yet already.
TKT-000649,EMP-00117,,HR Technology,Closed,2025-03-21,2025-04-16,EMP-00044,Front return if deep president.
TKT-000650,EMP-00048,,Employee Relations,Closed,2025-07-06,2025-08-19,EMP-00391,Learn question them chance often under already center president likely.
TKT-000651,EMP-00335,,HR Technology,In Progress,2025-07-15,,EMP-00392,
TKT-000652,EMP-00283,DEL-ROLE-041,Onboarding,Closed,2025-10-10,2025-11-01,EMP-00045,Animal red candidate common anyone film soldier lay color opportunity stand.
TKT-000653,EMP-00266,DATA-MGR,Learning & Development,In Progress,2025-10-02,,EMP-00395,
TKT-000654,EMP-00336,ENG-IC2,Offboarding,Closed,2025-07-31,2025-08-18,EMP-00395,Box organization past as dark.
TKT-000655,EMP-00305,,HR Tech,Closed,2025-08-04,2025-10-24,EMP-00045,Specific word question food wish office case student.
TKT-000656,EMP-00207,HR-MGR,Onboarding,Closed,2025-06-03,2025-06-07,EMP-00044,Share or friend building center indeed.
TKT-000657,EMP-00106,,Policy & Benefits,Open,2025-04-05,,EMP-00397,
TKT-000658,EMP-00255,DATA-SR,Onboarding,Closed,2025-01-04,2025-01-13,EMP-00397,Network just understand American beyond suggest partner sing.
TKT-000659,EMP-00393,SALES-IC2,Onboarding,In Progress,2025-07-03,,EMP-00044,
TKT-000660,EMP-00053,,HR Technology,Closed,2025-04-21,2025-06-15,EMP-00391,They ball account unit.
TKT-000661,EMP-00356,,HR Technology,Closed,2025-09-23,2025-11-18,EMP-00394,Thought indicate southern significant realize deal policy mission include visit.
TKT-000662,EMP-00159,,Payroll,Open,2025-02-19,,EMP-00399,
TKT-000663,EMP-00054,,HR Technology,Closed,2025-03-20,2025-05-16,EMP-00391,Reality other response partner because step feeling industry newspaper court worry.
TKT-000664,EMP-00185,,Payroll,Closed,2025-08-23,2025-09-11,EMP-00396,Peace television would medical less.
TKT-000665,EMP-00231,,Payroll,Closed,2025-11-03,2025-12-03,EMP-00396,Process everybody create someone rate why listen computer prove amount population.
TKT-000666,EMP-00306,,Employee Relations,Closed,2025-10-03,2025-12-09,EMP-00393,Decide edge pattern three law bit appear.
TKT-000667,EMP-00187,,Policy & Benefits,Closed,2025-12-13,2025-12-25,EMP-00399,Compare size machine break time return or for cup quality.
TKT-000668,EMP-00393,,Payroll,Closed,2025-05-09,2025-06-09,EMP-00391,Discover body direction down include customer through available.
TKT-000669,EMP-00311,,Payroll,Closed,2025-03-17,2025-04-07,EMP-00397,Machine three certain until lawyer hold carry rest place wish.
TKT-000670,EMP-00219,DATA-MGR,Offboarding,Closed,2025-01-15,2025-01-20,EMP-00391,From allow notice exactly book letter.
TKT-000671,EMP-00067,,Payroll,Closed,2025-12-16,2025-12-31,EMP-00397,Commercial gas though page smile point particularly color wife.
TKT-000672,EMP-00223,DATA-IC2,Onboarding,Closed,2025-02-24,2025-03-18,EMP-00396,Beat tax majority yet option student evidence.
TKT-000673,EMP-00130,,Policy & Benefits,Closed,2025-08-14,2025-08-19,EMP-00391,Save east force often through option chance off above.
TKT-000674,EMP-00406,,HR Technology,Closed,2025-09-12,2025-10-20,EMP-00394,Always likely shoulder almost most.
TKT-000675,EMP-00198,,HR Technology,Closed,2025-11-14,2025-12-29,EMP-00392,Special recent better manager bar send really image design.
TKT-000676,EMP-00140,,Policy & Benefits,Closed,2025-09-25,2025-10-15,EMP-00399,Fast positive before look fight reflect teach section.
TKT-000677,EMP-00348,,HR Technology,Closed,2025-10-19,2025-12-31,EMP-00044,With less catch reflect continue.
TKT-000678,EMP-00134,,HR Technology,Closed,2025-10-25,2025-12-03,EMP-00395,Phone region ability physical his real most fast.
TKT-000679,EMP-00295,,HR Technology,Closed,2025-12-29,2025-12-31,EMP-00399,Recently partner offer debate range per friend.
TKT-000680,EMP-00314,,HR Technology,In Progress,2025-05-06,,EMP-00044,
TKT-000681,EMP-00112,FIN-IC2,Learning & Development,Closed,2025-07-25,2025-09-26,EMP-00394,Method travel hair appear him.
TKT-000682,EMP-00304,,Policy & Benefits,Closed,2025-09-24,2025-10-10,EMP-00395,People half compare next attack remember daughter wonder draw.
TKT-000683,EMP-00163,,Payroll,Closed,2025-08-14,2025-08-16,EMP-00045,Power say sell that reflect.
TKT-000684,EMP-00176,,Policy & Benefits,Closed,2025-04-12,2025-04-23,EMP-00392,Fly today me institution approach health laugh.
TKT-000685,EMP-00401,,Policy & Benefits,Closed,2025-01-05,2025-01-09,EMP-00397,Money but report question mouth factor per son war.
TKT-000686,EMP-00202,,HR Technology,Closed,2025-07-11,2025-07-22,EMP-00396,Could this beautiful hospital condition.
TKT-000687,EMP-00092,,HR Technology,Closed,2025-11-07,2025-12-16,EMP-00397,Body every recent many themselves.
TKT-000688,EMP-00401,DEL-ROLE-041,Onboarding,Closed,2025-03-03,2025-03-22,EMP-00399,Weight age indicate radio use listen information scene again country.
TKT-000689,EMP-00059,SALES-MGR,Onboarding,Closed,2025-09-21,2025-09-26,EMP-00393,The discussion water popular.
TKT-000690,EMP-00400,,Employee Relations,Closed,2025-03-16,2025-05-22,EMP-00395,Official pretty skin main program morning nature leader.
TKT-000691,EMP-00287,CS-MGR,Onboarding,Closed,2025-05-12,2025-05-27,EMP-00392,Car smile commercial employee machine wife show another good lay.
TKT-000692,EMP-00252,,Payroll,Closed,2025-02-19,2025-02-27,EMP-00399,Peace claim movement consider compare remain.
TKT-000693,EMP-00394,,HR Technology,Closed,2025-07-18,2025-09-01,EMP-00393,Claim bring year off kid hard.
TKT-000694,EMP-00255,,Payroll,Closed,2025-05-09,2025-05-23,EMP-00392,None alone first gas health music.
TKT-000695,EMP-00196,,Employee Relations,Closed,2025-04-15,2025-06-08,EMP-00045,Move building agent use shoulder way.
TKT-000696,EMP-00214,,Payroll,Closed,2025-02-02,2025-02-20,EMP-00398,Choose wife national medical positive far time wide.
TKT-000697,EMP-00321,,Policy & Benefits,Closed,2025-08-31,2025-09-25,EMP-00395,Project son rock two full both look always question bring.
TKT-000698,EMP-00355,DEL-ROLE-041,Onboarding,Closed,2025-07-10,2025-08-05,EMP-00397,Husband subject land begin area.
TKT-000699,EMP-00132,,HR Technology,Closed,2025-07-09,2025-09-06,EMP-00397,On develop very everyone against Mrs.
TKT-000700,EMP-00230,DATA-SR,Onboarding,Closed,2025-04-26,2025-05-13,EMP-00392,Quality whatever wish hour make owner memory argue project.
TKT-000701,EMP-00278,,HR Technology,In Progress,2025-07-27,,EMP-00044,
TKT-000702,EMP-00296,,Payroll,Closed,2025-03-01,2025-03-20,EMP-00396,Challenge take hard health expect goal within them.
TKT-000703,EMP-00059,,HR Technology,Closed,2025-11-15,2025-12-31,EMP-00044,Democratic thousand score indeed kind.
TKT-000704,EMP-00259,CS-MGR,Onboarding,Closed,2025-12-31,2025-12-31,EMP-00397,South wife interest to cause onto.
TKT-000705,EMP-00210,,HR Technology,Closed,2025-03-11,2025-06-02,EMP-00397,Century field write moment friend.
TKT-000706,EMP-00240,CS-IC2,Offboarding,Closed,2025-01-18,2025-02-04,EMP-00395,Series because important trial increase new report sense carry control.
TKT-000707,EMP-00221,CS-IC1,Compensation,Closed,2025-03-08,2025-04-16,EMP-00396,Face make state few one management science different.
TKT-000708,EMP-00092,DEL-ROLE-017,Compensation,In Progress,2025-06-25,,EMP-00045,
TKT-000709,EMP-00232,,Payroll,Closed,2025-07-01,2025-07-04,EMP-00397,Child feel policy PM.
TKT-000710,EMP-00171,CS-IC1,Learning & Development,Closed,2025-06-13,2025-07-08,EMP-00394,President throughout individual man reach each.
TKT-000711,EMP-00090,,HR Technology,Closed,2025-01-26,2025-03-17,EMP-00398,Share manage wife out gun lose.
TKT-000712,EMP-00074,,Employee Relations,Closed,2025-10-14,2025-10-29,EMP-00395,Than physical live reason build mention offer suddenly clear.
TKT-000713,EMP-00273,SALES-IC2,Learning & Development,Closed,2025-02-03,2025-03-17,EMP-00395,Certainly leave really group apply.
TKT-000714,EMP-00152,,Payroll,Closed,2025-10-22,2025-10-20,EMP-00397,Information treatment green face morning view message short.
TKT-000715,EMP-00299,,Policy & Benefits,Closed,2025-05-28,2025-06-05,EMP-00398,Share out cold follow first suddenly.
TKT-000716,EMP-00200,,Payroll,Closed,2025-07-03,2025-07-05,EMP-00394,Even recently guy move goal century carry.
TKT-000717,EMP-00193,,Payroll,Closed,2025-01-01,2025-01-22,EMP-00396,Health machine future treat bill choice determine.
TKT-000718,EMP-00054,ENG-SR,Learning & Development,Closed,2025-12-12,2025-12-31,EMP-00395,Somebody next ready weight suffer Republican.
TKT-000719,EMP-00188,,Policy & Benefits,Closed,2025-10-20,2025-11-08,EMP-00391,Individual trouble bring capital admit.
TKT-000720,EMP-00030,,Policy & Benefits,Closed,2025-05-07,2025-05-19,EMP-00393,Find guy stage threat our shake garden report.
TKT-000721,EMP-00013,ENG-IC2,Compensation,Closed,2025-02-12,2025-03-14,EMP-00397,Season budget campaign reason read.
TKT-000722,EMP-00375,SALES-MGR,Offboarding,Closed,2025-07-25,2025-08-12,EMP-00393,By candidate bad real six back simple.
TKT-000723,EMP-00291,,Policy & Benefits,In Progress,2025-04-13,,EMP-00398,
TKT-000724,EMP-00153,DATA-IC2,Learning & Development,In Progress,2025-07-04,,EMP-00396,
TKT-000725,EMP-00150,MKT-MGR,Learning & Development,In Progress,2025-01-10,,EMP-00397,
TKT-000726,EMP-00057,,Benefits,Closed,2025-08-20,2025-08-24,EMP-00044,Amount blue soldier message arrive budget education at property.
TKT-000727,EMP-00343,DEL-ROLE-017,Onboarding,Closed,2025-08-04,2025-08-19,EMP-00045,Site turn day top continue.
TKT-000728,EMP-00043,,Payroll,In Progress,2025-11-22,,EMP-00397,
TKT-000729,EMP-00033,,Payroll,Closed,2025-08-10,2025-09-10,EMP-00392,Ahead certainly second everyone often goal talk sit.
TKT-000730,EMP-00154,DEL-ROLE-041,Onboarding,Closed,2025-03-04,2025-03-31,EMP-00394,Drop now between official add describe course example top Mr wind.
TKT-000731,EMP-00034,,Policy & Benefits,Closed,2025-04-27,2025-04-29,EMP-00392,Under turn surface listen recently.
TKT-000732,EMP-00137,,HR Technology,In Progress,2025-03-02,,EMP-00398,
TKT-000733,EMP-00061,,Policy & Benefits,Closed,2025-06-18,2025-07-01,EMP-00397,Keep whatever Congress great here Democrat.
TKT-000734,EMP-00057,,Payroll,Closed,2025-07-08,2025-08-12,EMP-00392,Imagine seven fire letter mind many guess.
TKT-000735,EMP-00170,,Payroll,Closed,2025-05-08,2025-06-08,EMP-00045,News American foreign break exist outside find.
TKT-000736,EMP-00066,SALES-IC2,Learning & Development,Closed,2025-09-03,2025-09-22,EMP-00398,Difficult imagine world into task thus sort voice happen.
TKT-000737,EMP-00066,CS-IC1,Learning & Development,Closed,2025-12-25,2025-12-31,EMP-00044,Your man black just.
TKT-000738,EMP-00232,,Policy & Benefits,Closed,2025-12-10,2025-12-17,EMP-00397,Budget house reason within scientist.
TKT-000739,EMP-00209,,Payroll,In Progress,2025-02-01,,EMP-00395,
TKT-000740,EMP-00417,,Payroll,Closed,2025-08-23,2025-09-24,EMP-00394,Ask window full organization wrong but.
TKT-000741,EMP-00054,,HR Technology,Closed,2025-01-21,2025-02-25,EMP-00392,Rise everything require old event smile popular hundred live.
TKT-000742,EMP-00079,DEL-ROLE-017,Onboarding,Closed,2025-07-24,2025-07-26,EMP-00045,Wear would memory challenge lawyer business majority discuss wall ahead.
TKT-000743,EMP-00119,,Payroll,Closed,2025-11-08,2025-12-08,EMP-00394,Store marriage ago condition painting.
TKT-000744,EMP-00208,,HR Technology,Closed,2025-12-14,2025-12-31,EMP-00394,Check perform benefit baby seem should society dark.
TKT-000745,EMP-00033,ENG-SR,L&D,Closed,2025-02-28,2025-03-11,EMP-00392,Make energy gas teacher national weight all involve trip.
TKT-000746,EMP-00006,DEL-ROLE-041,Offboarding,Closed,2025-06-22,2025-07-11,EMP-00395,Late table kind along computer process single those.
TKT-000747,EMP-00166,,Payroll,Closed,2025-01-09,2025-02-04,EMP-00044,Man care resource maintain body push.
TKT-000748,EMP-00087,,Payroll,In Progress,2025-05-13,,EMP-00044,
TKT-000749,EMP-00144,DEL-ROLE-041,Learning & Development,Closed,2025-07-19,2025-09-08,EMP-00398,Rate occur live take media hot manager wife pay good.
TKT-000750,EMP-00271,,Payroll,Open,2025-07-14,,EMP-00391,
TKT-000751,EMP-00374,,Policy & Benefits,Closed,2025-10-01,2025-10-23,EMP-00398,Fly agreement and student give score agree.
TKT-000752,EMP-00220,,HR Technology,Closed,2025-10-01,2025-11-19,EMP-00394,Game best generation group goal product easy possible or travel assume.
TKT-000753,EMP-00245,MKT-IC2,Offboarding,Closed,2025-02-20,2025-03-01,EMP-00395,Boy college Mrs also price institution method.
TKT-000754,EMP-00155,,Payroll,Closed,2025-11-25,2025-12-12,EMP-00392,Entire receive onto worry help hope occur space beyond.
TKT-000755,EMP-00127,FIN-MGR,Offboarding,Closed,2025-01-31,2025-01-24,EMP-00399,From me share fund pass guy.
TKT-000756,EMP-00165,,Policy & Benefits,Closed,2025-06-14,2025-07-07,EMP-00393,Cut player wind away sure degree enter father of.
TKT-000757,EMP-00279,ENG-IC2,Learning & Development,Closed,2025-05-22,2025-06-25,EMP-00398,Person when response official option event note.
TKT-000758,EMP-00390,,Policy & Benefits,Closed,2025-01-13,2025-01-24,EMP-00399,Little decide somebody prepare few sound item music customer I.
TKT-000759,EMP-00341,,HR Technology,Closed,2025-01-16,2025-05-10,EMP-00395,Middle public natural thing physical might cost material produce station visit.
TKT-000760,EMP-00236,ENG-IC2,Compensation,Closed,2025-06-27,2025-08-05,EMP-00391,View mouth pass shoulder its not phone.
TKT-000761,EMP-00296,,Policy & Benefits,Closed,2025-02-03,2025-01-23,EMP-00394,Customer leg drive second she such improve team treat plant.
TKT-000762,EMP-00381,FIN-IC2,Offboarding,Closed,2025-07-31,2025-08-16,EMP-00395,Environment expert civil rather door draw change agree.
TKT-000763,EMP-00315,,HR Technology,Closed,2025-02-11,2025-02-23,EMP-00397,Less nice job positive already city carry.
TKT-000764,EMP-00037,,HR Technology,Closed,2025-08-31,2025-10-19,EMP-00393,Smile everyone nearly popular amount reveal site.
TKT-000765,EMP-00031,,Employee Relations,In Progress,2025-04-02,,EMP-00396,
TKT-000766,EMP-00312,ENG-IC1,Learning & Development,Closed,2025-07-11,2025-08-07,EMP-00044,Teacher base own test too.
TKT-000767,EMP-00005,DEL-ROLE-041,Offboarding,Closed,2025-01-24,2025-01-31,EMP-00394,To public though however style successful door number.
TKT-000768,EMP-00285,,HR Technology,Closed,2025-11-25,2025-12-31,EMP-00397,Usually miss stock wear use edge this draw business.
TKT-000769,EMP-00105,EXEC,Onboarding,Closed,2025-12-08,2025-12-15,EMP-00391,Forget once hope security door institution certain compare.
TKT-000770,EMP-00103,,HR Technology,Closed,2025-11-12,2025-12-31,EMP-00395,Keep effect operation make hear we first.
TKT-000771,EMP-00302,PM-SR,Learning & Development,Closed,2025-11-03,2025-11-12,EMP-00398,Little east everyone six certain little happy final population.
TKT-000772,EMP-00146,FIN-MGR,Compensation,Closed,2025-07-12,2025-07-31,EMP-00044,Alone science sometimes area true public education his police red.
TKT-000773,EMP-00114,,Payroll,Closed,2025-03-12,2025-04-30,EMP-00396,Movement door kind account whether until.
TKT-000774,EMP-00049,,HR Technology,Closed,2025-03-03,2025-04-03,EMP-00398,Feeling view series father teacher civil keep.
TKT-000775,EMP-00257,,Policy & Benefits,Closed,2025-10-06,2025-10-15,EMP-00396,These short image almost term statement wait likely.
TKT-000776,EMP-00344,,Employee Relations,Closed,2025-10-24,2025-12-03,EMP-00392,Unit four institution truth beyond civil end at.
TKT-000777,EMP-00369,,HR Technology,In Progress,2025-12-23,,EMP-00392,
TKT-000778,EMP-00189,DEL-ROLE-017,Onboarding,Closed,2025-11-16,2025-11-29,EMP-00393,Own spend scene law agree appear political picture social.
TKT-000779,EMP-00299,,HR Technology,Closed,2025-01-11,2025-02-11,EMP-00398,Able customer figure office book economic.
TKT-000780,EMP-00293,ENG-IC1,Onboarding,In Progress,2025-08-31,,EMP-00392,
TKT-000781,EMP-00358,,HR Technology,Closed,2025-04-20,2025-07-05,EMP-00399,Suggest rate society floor long same.
TKT-000782,EMP-00066,,HR Technology,Closed,2025-05-31,2025-06-21,EMP-00395,Community or foreign example base happen hour.
TKT-000783,EMP-00113,SALES-MGR,Learning & Development,Closed,2025-02-18,2025-03-22,EMP-00044,War this difference way type positive phone trade.
TKT-000784,EMP-00219,,HR Technology,Closed,2025-01-28,2025-02-17,EMP-00044,Cup red collection husband investment employee become happy water.
TKT-000785,EMP-00297,,HR Technology,Closed,2025-05-03,2025-08-02,EMP-00044,Add moment significant up still management.
TKT-000786,EMP-00021,,Policy & Benefits,Closed,2025-06-28,2025-07-05,EMP-00393,Require course technology site explain management candidate.
TKT-000787,EMP-00058,,HR Technology,Closed,2025-12-09,2025-12-31,EMP-00396,Outside yet executive quality industry impact.
TKT-000788,EMP-00230,,HR Technology,Closed,2025-04-27,2025-05-26,EMP-00397,Agreement wish dog late eat old.
TKT-000789,EMP-00196,,HR Technology,Closed,2025-03-10,2025-05-10,EMP-00394,Beat light the window huge defense himself interest others.
TKT-000790,EMP-00371,,HR Technology,Closed,2025-11-05,2025-12-31,EMP-00398,Believe arrive four dog traditional.
TKT-000791,EMP-00023,ENG-IC1,Onboarding,Closed,2025-09-10,2025-10-11,EMP-00394,Vote whose our security animal effect people few house he.
TKT-000792,EMP-00089,,Payroll,Closed,2025-02-22,2025-03-01,EMP-00394,American conference college manage fund life bed report item employee.
TKT-000793,EMP-00010,,Payroll,Closed,2025-02-11,2025-02-24,EMP-00397,Analysis campaign the strong security unit executive theory.
TKT-000794,EMP-00284,,HR Technology,Closed,2025-12-01,2025-12-31,EMP-00392,Stop unit might job close say man wear new type PM.
TKT-000795,EMP-00373,,Payroll,Closed,2025-07-09,2025-07-16,EMP-00044,Apply chance discover along employee relationship job yet until.
TKT-000796,EMP-00222,,Policy & Benefits,In Progress,2025-02-21,,EMP-00394,
